full_text,Kategori,text_lemmatized,text_tokenized
homemade get rid tooth gum pain teeth teeth cleaning teeth care tooth tooth teeth smile toothache dentist dentistry tooth pain medicine gum health healthy healthy healthy life healthy homemade,6,homemade get rid tooth gum pain teeth teeth cleaning teeth care tooth tooth teeth smile toothache dentist dentistry tooth pain medicine gum health healthy healthy healthy life healthy homemade,"['homemade', 'get', 'rid', 'tooth', 'gum', 'pain', 'teeth', 'teeth', 'cleaning', 'teeth', 'care', 'tooth', 'tooth', 'teeth', 'smile', 'toothache', 'dentist', 'dentistry', 'tooth', 'pain', 'medicine', 'gum', 'health', 'healthy', 'healthy', 'healthy', 'life', 'healthy', 'homemade']"
top health fitness need known health fitness fitness health fitness knowledge health knowledge exercise wellness workout healthy fitness education fitness,6,top health fitness need known health fitness fitness health fitness knowledge health knowledge exercise wellness workout healthy fitness education fitness,"['top', 'health', 'fitness', 'need', 'known', 'health', 'fitness', 'fitness', 'health', 'fitness', 'knowledge', 'health', 'knowledge', 'exercise', 'wellness', 'workout', 'healthy', 'fitness', 'education', 'fitness']"
good cure soul grace compassion towards help achieve life li cancer hospital cancer hospital good healthy good health,6,good cure soul grace compassion towards help achieve life li cancer hospital cancer hospital good healthy good health,"['good', 'cure', 'soul', 'grace', 'compassion', 'towards', 'help', 'achieve', 'life', 'li', 'cancer', 'hospital', 'cancer', 'hospital', 'good', 'healthy', 'good', 'health']"
ultimate guide starting healthy healthy healthy change healthy healthy healthy journey healthy eats healthy follow men link n,6,ultimate guide starting healthy healthy healthy change healthy healthy healthy journey healthy eats healthy follow men link n,"['ultimate', 'guide', 'starting', 'healthy', 'healthy', 'healthy', 'change', 'healthy', 'healthy', 'healthy', 'journey', 'healthy', 'eats', 'healthy', 'follow', 'men', 'link', 'n']"
join us enhance quality actionable health stay healthy healthy living healthy digital digital te,6,join u enhance quality actionable health stay healthy healthy living healthy digital digital te,"['join', 'u', 'enhance', 'quality', 'actionable', 'health', 'stay', 'healthy', 'healthy', 'living', 'healthy', 'digital', 'digital', 'te']"
video overeat life coach n food psychology healthy emotional eating health coach workplace burnout burnout prevention,6,video overeat life coach n food psychology healthy emotional eating health coach workplace burnout burnout prevention,"['video', 'overeat', 'life', 'coach', 'n', 'food', 'psychology', 'healthy', 'emotional', 'eating', 'health', 'coach', 'workplace', 'burnout', 'burnout', 'prevention']"
endow magical quality helping sleep hypnotherapy p night eating insomnia peri menopause menopause weight loss life coach n food psychology healthy emotional eating health coach workplace,6,endow magical quality helping sleep hypnotherapy p night eating insomnia peri menopause menopause weight loss life coach n food psychology healthy emotional eating health coach workplace,"['endow', 'magical', 'quality', 'helping', 'sleep', 'hypnotherapy', 'p', 'night', 'eating', 'insomnia', 'peri', 'menopause', 'menopause', 'weight', 'loss', 'life', 'coach', 'n', 'food', 'psychology', 'healthy', 'emotional', 'eating', 'health', 'coach', 'workplace']"
vital overall health big impact function hydrated eating healthy diet small make big difference keeping healthy kidney health healthy,6,vital overall health big impact function hydrated eating healthy diet small make big difference keeping healthy kidney health healthy,"['vital', 'overall', 'health', 'big', 'impact', 'function', 'hydrated', 'eating', 'healthy', 'diet', 'small', 'make', 'big', 'difference', 'keeping', 'healthy', 'kidney', 'health', 'healthy']"
bucky ball carbon like world saving day amazing keep open mind might stumble upon something incredible healthy,6,bucky ball carbon like world saving day amazing keep open mind might stumble upon something incredible healthy,"['bucky', 'ball', 'carbon', 'like', 'world', 'saving', 'day', 'amazing', 'keep', 'open', 'mind', 'might', 'stumble', 'upon', 'something', 'incredible', 'healthy']"
health brain aging healthy bad weak brain,6,health brain aging healthy bad weak brain,"['health', 'brain', 'aging', 'healthy', 'bad', 'weak', 'brain']"
summer skin watch prevention key nth total health non line doctor n doctor visit doctor appointment non line doctor healthy healthy n virtual doctor virtual doctor visit,6,summer skin watch prevention key nth total health non line doctor n doctor visit doctor appointment non line doctor healthy healthy n virtual doctor virtual doctor visit,"['summer', 'skin', 'watch', 'prevention', 'key', 'nth', 'total', 'health', 'non', 'line', 'doctor', 'n', 'doctor', 'visit', 'doctor', 'appointment', 'non', 'line', 'doctor', 'healthy', 'healthy', 'n', 'virtual', 'doctor', 'virtual', 'doctor', 'visit']"
unlock potential transform body achieve weight loss success short n motivation losing weight healthy happy life healthy n,6,unlock potential transform body achieve weight loss success short n motivation losing weight healthy happy life healthy n,"['unlock', 'potential', 'transform', 'body', 'achieve', 'weight', 'loss', 'success', 'short', 'n', 'motivation', 'losing', 'weight', 'healthy', 'happy', 'life', 'healthy', 'n']"
eating meat raw healthy via,6,eating meat raw healthy via,"['eating', 'meat', 'raw', 'healthy', 'via']"
traveling doesnt mean sacrificing health fitness embrace opportunity hit gym resort stay track ale island healthy traveler fit life beach resort gym life fitness healthy get fit travel visit,6,traveling doesnt mean sacrificing health fitness embrace opportunity hit gym resort stay track ale island healthy traveler fit life beach resort gym life fitness healthy get fit travel visit,"['traveling', 'doesnt', 'mean', 'sacrificing', 'health', 'fitness', 'embrace', 'opportunity', 'hit', 'gym', 'resort', 'stay', 'track', 'ale', 'island', 'healthy', 'traveler', 'fit', 'life', 'beach', 'resort', 'gym', 'life', 'fitness', 'healthy', 'get', 'fit', 'travel', 'visit']"
fuel body mind goodness healthy health stay healthy healthy living healthy digital digital te,6,fuel body mind goodness healthy health stay healthy healthy living healthy digital digital te,"['fuel', 'body', 'mind', 'goodness', 'healthy', 'health', 'stay', 'healthy', 'healthy', 'living', 'healthy', 'digital', 'digital', 'te']"
worry improve mental health awareness healthy calm meditation n,6,worry improve mental health awareness healthy calm meditation n,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n']"
body high sugar taken n health healthy healthy food healthy life healthy healthy sugar high sugar sugar high,6,body high sugar taken n health healthy healthy food healthy life healthy healthy sugar high sugar sugar high,"['body', 'high', 'sugar', 'taken', 'n', 'health', 'healthy', 'healthy', 'food', 'healthy', 'life', 'healthy', 'healthy', 'sugar', 'high', 'sugar', 'sugar', 'high']"
hydrate body refresh soul delicious water water healthy living hydration nation,6,hydrate body refresh soul delicious water water healthy living hydration nation,"['hydrate', 'body', 'refresh', 'soul', 'delicious', 'water', 'water', 'healthy', 'living', 'hydration', 'nation']"
n healthy news,6,n healthy news,"['n', 'healthy', 'news']"
focus progress perfection weight loss motivation motivational speech short n motivation losing weight healthy happy life healthy n,6,focus progress perfection weight loss motivation motivational speech short n motivation losing weight healthy happy life healthy n,"['focus', 'progress', 'perfection', 'weight', 'loss', 'motivation', 'motivational', 'speech', 'short', 'n', 'motivation', 'losing', 'weight', 'healthy', 'happy', 'life', 'healthy', 'n']"
worry improve mental health awareness healthy calm meditation n,6,worry improve mental health awareness healthy calm meditation n,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n']"
malaria spike world malaria day call doc world malaria day healthy,6,malaria spike world malaria day call doc world malaria day healthy,"['malaria', 'spike', 'world', 'malaria', 'day', 'call', 'doc', 'world', 'malaria', 'day', 'healthy']"
exercise fitness yoga life healthy,6,exercise fitness yoga life healthy,"['exercise', 'fitness', 'yoga', 'life', 'healthy']"
book appointment call us visit protein dietician healthy food healthy speciality hospital hard,6,book appointment call u visit protein dietician healthy food healthy speciality hospital hard,"['book', 'appointment', 'call', 'u', 'visit', 'protein', 'dietician', 'healthy', 'food', 'healthy', 'speciality', 'hospital', 'hard']"
want promote healthy aging extend n ness x potent c anti inflammatory experience better mood body longer life healthy,6,want promote healthy aging extend n ness x potent c anti inflammatory experience better mood body longer life healthy,"['want', 'promote', 'healthy', 'aging', 'extend', 'n', 'ness', 'x', 'potent', 'c', 'anti', 'inflammatory', 'experience', 'better', 'mood', 'body', 'longer', 'life', 'healthy']"
n medical k medical college k medical hospital best hospital fitness healthy eating healthy sugar high blood sugar blood sugar low blood sugar sugar,6,n medical k medical college k medical hospital best hospital fitness healthy eating healthy sugar high blood sugar blood sugar low blood sugar sugar,"['n', 'medical', 'k', 'medical', 'college', 'k', 'medical', 'hospital', 'best', 'hospital', 'fitness', 'healthy', 'eating', 'healthy', 'sugar', 'high', 'blood', 'sugar', 'blood', 'sugar', 'low', 'blood', 'sugar', 'sugar']"
make time rest movement healthy healthy living healthy healthy healthy life healthy healthy health health wellness health awareness health coach health coaching,6,make time rest movement healthy healthy living healthy healthy healthy life healthy healthy health health wellness health awareness health coach health coaching,"['make', 'time', 'rest', 'movement', 'healthy', 'healthy', 'living', 'healthy', 'healthy', 'healthy', 'life', 'healthy', 'healthy', 'health', 'health', 'wellness', 'health', 'awareness', 'health', 'coach', 'health', 'coaching']"
n green tea green tea healthy life healthy,6,n green tea green tea healthy life healthy,"['n', 'green', 'tea', 'green', 'tea', 'healthy', 'life', 'healthy']"
since finally found solution taking ess regularly since single migraine even wife used suffer nine month pretty phenomenal healthy,6,since finally found solution taking es regularly since single migraine even wife used suffer nine month pretty phenomenal healthy,"['since', 'finally', 'found', 'solution', 'taking', 'es', 'regularly', 'since', 'single', 'migraine', 'even', 'wife', 'used', 'suffer', 'nine', 'month', 'pretty', 'phenomenal', 'healthy']"
healthy healthy health news update healthy,6,healthy healthy health news update healthy,"['healthy', 'healthy', 'health', 'news', 'update', 'healthy']"
organic wan na make healthy n dawn n dusk dawn n dusk organic food tea teatime life herbal tea food food ie lover green tea healthy food health healthy,6,organic wan na make healthy n dawn n dusk dawn n dusk organic food tea teatime life herbal tea food food ie lover green tea healthy food health healthy,"['organic', 'wan', 'na', 'make', 'healthy', 'n', 'dawn', 'n', 'dusk', 'dawn', 'n', 'dusk', 'organic', 'food', 'tea', 'teatime', 'life', 'herbal', 'tea', 'food', 'food', 'ie', 'lover', 'green', 'tea', 'healthy', 'food', 'health', 'healthy']"
want make reality start good nights sleep success effort also proper rest recovery start taking care body today healthy,6,want make reality start good night sleep success effort also proper rest recovery start taking care body today healthy,"['want', 'make', 'reality', 'start', 'good', 'night', 'sleep', 'success', 'effort', 'also', 'proper', 'rest', 'recovery', 'start', 'taking', 'care', 'body', 'today', 'healthy']"
worry improve mental health awareness healthy calm meditation n,6,worry improve mental health awareness healthy calm meditation n,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n']"
harm help body remain healthy get known n harm health healthy living essential balance healthy,6,harm help body remain healthy get known n harm health healthy living essential balance healthy,"['harm', 'help', 'body', 'remain', 'healthy', 'get', 'known', 'n', 'harm', 'health', 'healthy', 'living', 'essential', 'balance', 'healthy']"
harm help body remain healthy get known n harm health healthy living essential balance healthy,6,harm help body remain healthy get known n harm health healthy living essential balance healthy,"['harm', 'help', 'body', 'remain', 'healthy', 'get', 'known', 'n', 'harm', 'health', 'healthy', 'living', 'essential', 'balance', 'healthy']"
worry improve mental health awareness healthy calm meditation n,6,worry improve mental health awareness healthy calm meditation n,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n']"
exercise fitness yoga life healthy,6,exercise fitness yoga life healthy,"['exercise', 'fitness', 'yoga', 'life', 'healthy']"
worry improve mental health awareness healthy calm meditation n,6,worry improve mental health awareness healthy calm meditation n,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n']"
harm help body remain healthy get known n harm health healthy living essential balance healthy,6,harm help body remain healthy get known n harm health healthy living essential balance healthy,"['harm', 'help', 'body', 'remain', 'healthy', 'get', 'known', 'n', 'harm', 'health', 'healthy', 'living', 'essential', 'balance', 'healthy']"
fun natural honey n natural h honey n natural healthy tasty sell process package n call natural natural h honey natural healthy tasty healthy living healthy cold,6,fun natural honey n natural h honey n natural healthy tasty sell process package n call natural natural h honey natural healthy tasty healthy living healthy cold,"['fun', 'natural', 'honey', 'n', 'natural', 'h', 'honey', 'n', 'natural', 'healthy', 'tasty', 'sell', 'process', 'package', 'n', 'call', 'natural', 'natural', 'h', 'honey', 'natural', 'healthy', 'tasty', 'healthy', 'living', 'healthy', 'cold']"
exercise fitness yoga li healthy,6,exercise fitness yoga li healthy,"['exercise', 'fitness', 'yoga', 'li', 'healthy']"
dont watch clock start binge eating intermittent fasting instead transition slowly listen body stay hydrated unlock power intermittent fasting today healthy,6,dont watch clock start binge eating intermittent fasting instead transition slowly listen body stay hydrated unlock power intermittent fasting today healthy,"['dont', 'watch', 'clock', 'start', 'binge', 'eating', 'intermittent', 'fasting', 'instead', 'transition', 'slowly', 'listen', 'body', 'stay', 'hydrated', 'unlock', 'power', 'intermittent', 'fasting', 'today', 'healthy']"
worry improve mental health awareness healthy calm meditation n,6,worry improve mental health awareness healthy calm meditation n,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n']"
enjoy refreshing cup hospital ea black mast te call us n check el mix chai chai ad chai herbal tea healthy cherish love taste taste one sip cup tea teacup,6,enjoy refreshing cup hospital ea black mast te call u n check el mix chai chai ad chai herbal tea healthy cherish love taste taste one sip cup tea teacup,"['enjoy', 'refreshing', 'cup', 'hospital', 'ea', 'black', 'mast', 'te', 'call', 'u', 'n', 'check', 'el', 'mix', 'chai', 'chai', 'ad', 'chai', 'herbal', 'tea', 'healthy', 'cherish', 'love', 'taste', 'taste', 'one', 'sip', 'cup', 'tea', 'teacup']"
worry improve mental health awareness healthy calm meditation n airdrop,6,worry improve mental health awareness healthy calm meditation n airdrop,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n', 'airdrop']"
known n e basket fruit salad fruit fruit snack challenge healthy healthy healthy coach healthy change magazine,6,known n e basket fruit salad fruit fruit snack challenge healthy healthy healthy coach healthy change magazine,"['known', 'n', 'e', 'basket', 'fruit', 'salad', 'fruit', 'fruit', 'snack', 'challenge', 'healthy', 'healthy', 'healthy', 'coach', 'healthy', 'change', 'magazine']"
worry improve mental health awareness healthy calm meditation n,6,worry improve mental health awareness healthy calm meditation n,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n']"
exercise fitness yoga life healthy,6,exercise fitness yoga life healthy,"['exercise', 'fitness', 'yoga', 'life', 'healthy']"
worry improve mental health awareness healthy calm meditation n,6,worry improve mental health awareness healthy calm meditation n,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n']"
avoid toxic people dont volunteer n toxic relationship motivation nontoxic life health mental health healthy motivational video finding serenity,6,avoid toxic people dont volunteer n toxic relationship motivation nontoxic life health mental health healthy motivational video finding serenity,"['avoid', 'toxic', 'people', 'dont', 'volunteer', 'n', 'toxic', 'relationship', 'motivation', 'nontoxic', 'life', 'health', 'mental', 'health', 'healthy', 'motivational', 'video', 'finding', 'serenity']"
healthy headache migraine avoid headache,6,healthy headache migraine avoid headache,"['healthy', 'headache', 'migraine', 'avoid', 'headache']"
one minute meditation n worry improve mental health awareness healthy calm meditation n happy birthday babe,6,one minute meditation n worry improve mental health awareness healthy calm meditation n happy birthday babe,"['one', 'minute', 'meditation', 'n', 'worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n', 'happy', 'birthday', 'babe']"
worry improve mental health awareness healthy calm meditation n macron easter,6,worry improve mental health awareness healthy calm meditation n macron easter,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n', 'macron', 'easter']"
worry improve mental health awareness healthy calm meditation n mu j th,6,worry improve mental health awareness healthy calm meditation n mu j th,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n', 'mu', 'j', 'th']"
worry improve mental health awareness healthy calm meditation n,6,worry improve mental health awareness healthy calm meditation n,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n']"
world health day focus reducing health health equity health equity health healthy healthy health wealth life medical fitness motivation dish dish event planner even dish,6,world health day focus reducing health health equity health equity health healthy healthy health wealth life medical fitness motivation dish dish event planner even dish,"['world', 'health', 'day', 'focus', 'reducing', 'health', 'health', 'equity', 'health', 'equity', 'health', 'healthy', 'healthy', 'health', 'wealth', 'life', 'medical', 'fitness', 'motivation', 'dish', 'dish', 'event', 'planner', 'even', 'dish']"
walking day incomplete taken walk better health make wonderful day burning walk walking walking day national walking day better health better healthy healthy walking day exercise,6,walking day incomplete taken walk better health make wonderful day burning walk walking walking day national walking day better health better healthy healthy walking day exercise,"['walking', 'day', 'incomplete', 'taken', 'walk', 'better', 'health', 'make', 'wonderful', 'day', 'burning', 'walk', 'walking', 'walking', 'day', 'national', 'walking', 'day', 'better', 'health', 'better', 'healthy', 'healthy', 'walking', 'day', 'exercise']"
intermittent fasting rather shift hunger becomes positive indicator progress source misery embrace sign track healthy,6,intermittent fasting rather shift hunger becomes positive indicator progress source misery embrace sign track healthy,"['intermittent', 'fasting', 'rather', 'shift', 'hunger', 'becomes', 'positive', 'indicator', 'progress', 'source', 'misery', 'embrace', 'sign', 'track', 'healthy']"
looking build smoking help get read thread smoking cessation smoking tobacco free smoke healthy living healthy life healthy quit smoking,6,looking build smoking help get read thread smoking cessation smoking tobacco free smoke healthy living healthy life healthy quit smoking,"['looking', 'build', 'smoking', 'help', 'get', 'read', 'thread', 'smoking', 'cessation', 'smoking', 'tobacco', 'free', 'smoke', 'healthy', 'living', 'healthy', 'life', 'healthy', 'quit', 'smoking']"
check killer high protein snack advocate villa median n healthy healthy healthy healthy eating healthy eating plan healthy eating made easy healthy eating healthy living healthy eating,6,check killer high protein snack advocate villa median n healthy healthy healthy healthy eating healthy eating plan healthy eating made easy healthy eating healthy living healthy eating,"['check', 'killer', 'high', 'protein', 'snack', 'advocate', 'villa', 'median', 'n', 'healthy', 'healthy', 'healthy', 'healthy', 'eating', 'healthy', 'eating', 'plan', 'healthy', 'eating', 'made', 'easy', 'healthy', 'eating', 'healthy', 'living', 'healthy', 'eating']"
incredibly important physical mental health mention quality life get sufficient sleep every day sleep health wellness healthy healthy sleep sleep health,6,incredibly important physical mental health mention quality life get sufficient sleep every day sleep health wellness healthy healthy sleep sleep health,"['incredibly', 'important', 'physical', 'mental', 'health', 'mention', 'quality', 'life', 'get', 'sufficient', 'sleep', 'every', 'day', 'sleep', 'health', 'wellness', 'healthy', 'healthy', 'sleep', 'sleep', 'health']"
walking twice weekly cholesterol heart attack risk study n click read twice weekly lower cholesterol heart health heart attack prevention healthy healthy sight,6,walking twice weekly cholesterol heart attack risk study n click read twice weekly lower cholesterol heart health heart attack prevention healthy healthy sight,"['walking', 'twice', 'weekly', 'cholesterol', 'heart', 'attack', 'risk', 'study', 'n', 'click', 'read', 'twice', 'weekly', 'lower', 'cholesterol', 'heart', 'health', 'heart', 'attack', 'prevention', 'healthy', 'healthy', 'sight']"
small make big impact adopt healthy like active eating nutritious getting enough rest world health day health stay healthy healthy living healthy digital digital te,6,small make big impact adopt healthy like active eating nutritious getting enough rest world health day health stay healthy healthy living healthy digital digital te,"['small', 'make', 'big', 'impact', 'adopt', 'healthy', 'like', 'active', 'eating', 'nutritious', 'getting', 'enough', 'rest', 'world', 'health', 'day', 'health', 'stay', 'healthy', 'healthy', 'living', 'healthy', 'digital', 'digital', 'te']"
n n healthy life heart attack healthy healthy,6,n n healthy life heart attack healthy healthy,"['n', 'n', 'healthy', 'life', 'heart', 'attack', 'healthy', 'healthy']"
exercise fitness yoga life healthy,6,exercise fitness yoga life healthy,"['exercise', 'fitness', 'yoga', 'life', 'healthy']"
worry improve mental health awareness healthy calm meditation n el musk mu j th,6,worry improve mental health awareness healthy calm meditation n el musk mu j th,"['worry', 'improve', 'mental', 'health', 'awareness', 'healthy', 'calm', 'meditation', 'n', 'el', 'musk', 'mu', 'j', 'th']"
